pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pz-vbc.UPF,7,60,4,0.02,0.7,-4,8,85.75,249.91,-4.17777432,3,2.12144637107849
Al.pz-vbc.UPF,7.01010101010101,60,4,0.02,0.7,-4,8,86.1217,242.19,-4.1783965,3,2.11819410324097
Al.pz-vbc.UPF,7.02020202020202,60,4,0.02,0.7,-4,8,86.4946,234.6,-4.17900107,3,2.13381671905518
Al.pz-vbc.UPF,7.03030303030303,60,4,0.02,0.7,-4,8,86.8685,227.12,-4.17958824,3,2.14153623580933
Al.pz-vbc.UPF,7.04040404040404,60,4,0.02,0.7,-4,8,87.2434,219.79,-4.18015821,3,2.21621322631836
Al.pz-vbc.UPF,7.05050505050505,60,4,0.02,0.7,-4,8,87.6195,212.56,-4.18071119,3,2.2961049079895
Al.pz-vbc.UPF,7.06060606060606,60,4,0.02,0.7,-4,8,87.9966,205.44,-4.18124737,3,2.2369749546051
Al.pz-vbc.UPF,7.07070707070707,60,4,0.02,0.7,-4,8,88.3748,198.45,-4.18176694,3,2.16358113288879
Al.pz-vbc.UPF,7.08080808080808,60,4,0.02,0.7,-4,8,88.7541,191.57,-4.18227012,3,2.39398765563965
Al.pz-vbc.UPF,7.09090909090909,60,4,0.02,0.7,-4,8,89.1345,184.8,-4.18275708,3,2.21994519233704
Al.pz-vbc.UPF,7.1010101010101,60,4,0.02,0.7,-4,8,89.5159,178.14,-4.18322803,3,2.27594470977783
Al.pz-vbc.UPF,7.11111111111111,60,4,0.02,0.7,-4,8,89.8985,171.59,-4.18368315,3,2.22253370285034
Al.pz-vbc.UPF,7.12121212121212,60,4,0.02,0.7,-4,8,90.2821,165.16,-4.18412263,3,2.20460605621338
Al.pz-vbc.UPF,7.13131313131313,60,4,0.02,0.7,-4,8,90.6668,158.82,-4.18454666,3,2.28284239768982
Al.pz-vbc.UPF,7.14141414141414,60,4,0.02,0.7,-4,8,91.0527,152.6,-4.18495542,3,2.38594365119934
Al.pz-vbc.UPF,7.15151515151515,60,4,0.02,0.7,-4,8,91.4396,146.48,-4.18534909,3,2.45005202293396
Al.pz-vbc.UPF,7.16161616161616,60,4,0.02,0.7,-4,8,91.8276,140.46,-4.18572787,3,2.40574407577515
Al.pz-vbc.UPF,7.17171717171717,60,4,0.02,0.7,-4,8,92.2167,134.53,-4.18609192,3,2.40971636772156
