pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pz-vbc.UPF,7.3,60,4,0.02,0.7,-4,8,97.2542,67.58,-4.18950865,3,2.30847811698914
Al.pz-vbc.UPF,7.30201005025126,60,4,0.02,0.7,-4,8,97.3346,66.64,-4.18954538,3,2.21982645988464
Al.pz-vbc.UPF,7.30402010050251,60,4,0.02,0.7,-4,8,97.415,65.71,-4.18958162,3,2.2353081703186
Al.pz-vbc.UPF,7.30603015075377,60,4,0.02,0.7,-4,8,97.4955,64.78,-4.18961737,3,2.34005212783813
Al.pz-vbc.UPF,7.30804020100503,60,4,0.02,0.7,-4,8,97.5759,63.86,-4.18965264,3,2.27682018280029
Al.pz-vbc.UPF,7.31005025125628,60,4,0.02,0.7,-4,8,97.6565,62.94,-4.18968742,3,2.3112621307373
Al.pz-vbc.UPF,7.31206030150754,60,4,0.02,0.7,-4,8,97.7371,62.03,-4.18972171,3,2.21491718292236
Al.pz-vbc.UPF,7.31407035175879,60,4,0.02,0.7,-4,8,97.8177,61.11,-4.18975552,3,2.21502995491028
Al.pz-vbc.UPF,7.31608040201005,60,4,0.02,0.7,-4,8,97.8983,60.19,-4.18978885,3,2.2038836479187
Al.pz-vbc.UPF,7.31809045226131,60,4,0.02,0.7,-4,8,97.9791,59.28,-4.18982169,3,2.27637529373169
Al.pz-vbc.UPF,7.32010050251256,60,4,0.02,0.7,-4,8,98.0599,58.38,-4.18985408,3,2.31116676330566
Al.pz-vbc.UPF,7.32211055276382,60,4,0.02,0.7,-4,8,98.1407,57.47,-4.18988596,3,2.20818972587585
Al.pz-vbc.UPF,7.32412060301508,60,4,0.02,0.7,-4,8,98.2215,56.58,-4.18991737,3,2.25587439537048
Al.pz-vbc.UPF,7.32613065326633,60,4,0.02,0.7,-4,8,98.3024,55.68,-4.1899483,3,2.32002973556519
Al.pz-vbc.UPF,7.32814070351759,60,4,0.02,0.7,-4,8,98.3833,54.78,-4.18997876,3,2.23685026168823
Al.pz-vbc.UPF,7.33015075376884,60,4,0.02,0.7,-4,8,98.4643,53.9,-4.19000874,3,2.22149801254272
Al.pz-vbc.UPF,7.3321608040201,60,4,0.02,0.7,-4,8,98.5453,53.01,-4.19003825,3,2.27073073387146
Al.pz-vbc.UPF,7.33417085427136,60,4,0.02,0.7,-4,8,98.6264,52.12,-4.19006729,3,2.29255318641663
Al.pz-vbc.UPF,7.33618090452261,60,4,0.02,0.7,-4,8,98.7075,51.24,-4.19009586,3,2.31413173675537
Al.pz-vbc.UPF,7.33819095477387,60,4,0.02,0.7,-4,8,98.7886,50.37,-4.19012396,3,2.27892208099365
Al.pz-vbc.UPF,7.34020100502513,60,4,0.02,0.7,-4,8,98.8698,49.51,-4.19015159,3,2.31431770324707
Al.pz-vbc.UPF,7.34221105527638,60,4,0.02,0.7,-4,8,98.9511,48.63,-4.19017875,3,2.25009989738464
Al.pz-vbc.UPF,7.34422110552764,60,4,0.02,0.7,-4,8,99.0324,47.77,-4.19020545,3,2.325439453125
Al.pz-vbc.UPF,7.34623115577889,60,4,0.02,0.7,-4,8,99.1137,46.89,-4.19023169,3,2.24938130378723
Al.pz-vbc.UPF,7.34824120603015,60,4,0.02,0.7,-4,8,99.1951,46.03,-4.19025746,3,2.30479741096497
Al.pz-vbc.UPF,7.35025125628141,60,4,0.02,0.7,-4,8,99.2765,45.17,-4.19028277,3,2.25317335128784
Al.pz-vbc.UPF,7.35226130653266,60,4,0.02,0.7,-4,8,99.358,44.32,-4.19030762,3,2.35717177391052
Al.pz-vbc.UPF,7.35427135678392,60,4,0.02,0.7,-4,8,99.4395,43.48,-4.19033201,3,2.24627113342285
Al.pz-vbc.UPF,7.35628140703518,60,4,0.02,0.7,-4,8,99.521,42.62,-4.19035595,3,2.3568377494812
Al.pz-vbc.UPF,7.35829145728643,60,4,0.02,0.7,-4,8,99.6026,41.77,-4.19037942,3,2.37723422050476
Al.pz-vbc.UPF,7.36030150753769,60,4,0.02,0.7,-4,8,99.6843,40.93,-4.19040245,3,2.3093523979187
Al.pz-vbc.UPF,7.36231155778895,60,4,0.02,0.7,-4,8,99.766,40.09,-4.19042502,3,2.35999894142151
Al.pz-vbc.UPF,7.3643216080402,60,4,0.02,0.7,-4,8,99.8478,39.26,-4.19044713,3,2.26049065589905
Al.pz-vbc.UPF,7.36633165829146,60,4,0.02,0.7,-4,8,99.9295,38.42,-4.19046879,3,2.29247975349426
Al.pz-vbc.UPF,7.36834170854271,60,4,0.02,0.7,-4,8,100.0114,37.59,-4.19049,3,2.31099534034729
Al.pz-vbc.UPF,7.37035175879397,60,4,0.02,0.7,-4,8,100.0932,36.77,-4.19051076,3,2.36736559867859
Al.pz-vbc.UPF,7.37236180904523,60,4,0.02,0.7,-4,8,100.1751,35.94,-4.19053107,3,2.2653706073761
Al.pz-vbc.UPF,7.37437185929648,60,4,0.02,0.7,-4,8,100.2571,35.12,-4.19055094,3,2.31345820426941
Al.pz-vbc.UPF,7.37638190954774,60,4,0.02,0.7,-4,8,100.3391,34.3,-4.19057035,3,2.31315016746521
Al.pz-vbc.UPF,7.37839195979899,60,4,0.02,0.7,-4,8,100.4211,33.49,-4.19058933,3,2.2257080078125
Al.pz-vbc.UPF,7.38040201005025,60,4,0.02,0.7,-4,8,100.5032,32.68,-4.19060786,3,2.23657727241516
