pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pbe-uspp.UPF,7.5,80,4,0.02,0.7,-7,8,105.4688,43.28,-5.0383611,4,4.144207715988159
Al.pbe-uspp.UPF,7.501256281407035,80,4,0.02,0.7,-7,8,105.5217,42.79,-5.03837662,4,4.118211507797241
Al.pbe-uspp.UPF,7.50251256281407,80,4,0.02,0.7,-7,8,105.5748,42.3,-5.03839197,4,4.215914011001587
Al.pbe-uspp.UPF,7.5037688442211055,80,4,0.02,0.7,-7,8,105.6278,41.81,-5.03840714,4,4.130773544311523
Al.pbe-uspp.UPF,7.505025125628141,80,4,0.02,0.7,-7,8,105.6809,41.32,-5.03842214,4,4.13635516166687
Al.pbe-uspp.UPF,7.506281407035176,80,4,0.02,0.7,-7,8,105.734,40.83,-5.03843697,4,4.121668100357056
Al.pbe-uspp.UPF,7.507537688442211,80,4,0.02,0.7,-7,8,105.7871,40.34,-5.03845164,4,4.123203992843628
Al.pbe-uspp.UPF,7.508793969849246,80,4,0.02,0.7,-7,8,105.8402,39.86,-5.03846612,4,4.119120359420776
Al.pbe-uspp.UPF,7.510050251256281,80,4,0.02,0.7,-7,8,105.8933,39.37,-5.03848044,4,4.116881847381592
Al.pbe-uspp.UPF,7.511306532663316,80,4,0.02,0.7,-7,8,105.9465,38.89,-5.0384946,4,4.131429433822632
Al.pbe-uspp.UPF,7.5125628140703515,80,4,0.02,0.7,-7,8,105.9996,38.4,-5.03850857,4,4.156679391860962
Al.pbe-uspp.UPF,7.513819095477387,80,4,0.02,0.7,-7,8,106.0528,37.92,-5.03852238,4,4.131671905517578
Al.pbe-uspp.UPF,7.515075376884422,80,4,0.02,0.7,-7,8,106.106,37.44,-5.03853601,4,4.099171876907349
Al.pbe-uspp.UPF,7.516331658291457,80,4,0.02,0.7,-7,8,106.1593,36.96,-5.03854949,4,4.083935499191284
Al.pbe-uspp.UPF,7.517587939698492,80,4,0.02,0.7,-7,8,106.2125,36.49,-5.03856279,4,4.113198518753052
Al.pbe-uspp.UPF,7.518844221105527,80,4,0.02,0.7,-7,8,106.2657,36.01,-5.03857592,4,4.145274639129639
Al.pbe-uspp.UPF,7.5201005025125625,80,4,0.02,0.7,-7,8,106.319,35.53,-5.0385889,4,4.136038780212402
Al.pbe-uspp.UPF,7.521356783919598,80,4,0.02,0.7,-7,8,106.3723,35.06,-5.03860169,4,4.122239112854004
Al.pbe-uspp.UPF,7.522613065326633,80,4,0.02,0.7,-7,8,106.4256,34.58,-5.03861432,4,4.113889694213867
Al.pbe-uspp.UPF,7.523869346733668,80,4,0.02,0.7,-7,8,106.4789,34.11,-5.03862678,4,4.12407660484314
Al.pbe-uspp.UPF,7.525125628140704,80,4,0.02,0.7,-7,8,106.5323,33.64,-5.03863908,4,4.097779989242554
Al.pbe-uspp.UPF,7.526381909547739,80,4,0.02,0.7,-7,8,106.5857,33.17,-5.03865121,4,4.109360694885254
Al.pbe-uspp.UPF,7.527638190954774,80,4,0.02,0.7,-7,8,106.639,32.7,-5.03866317,4,4.1299660205841064
Al.pbe-uspp.UPF,7.528894472361809,80,4,0.02,0.7,-7,8,106.6924,32.24,-5.03867497,4,4.175678968429565
