pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pz-vbc.UPF,7.467,60,4,0.02,0.7,-8,8,104.0827,0.6,-4.19100185,4,2.42866945266724
Al.pz-vbc.UPF,7.46702010050251,60,4,0.02,0.7,-8,8,104.0835,0.59,-4.19100185,4,2.48924016952515
Al.pz-vbc.UPF,7.46704020100503,60,4,0.02,0.7,-8,8,104.0844,0.59,-4.19100185,4,2.75453901290894
Al.pz-vbc.UPF,7.46706030150754,60,4,0.02,0.7,-8,8,104.0852,0.58,-4.19100186,4,2.49459671974182
Al.pz-vbc.UPF,7.46708040201005,60,4,0.02,0.7,-8,8,104.086,0.57,-4.19100186,4,2.56359243392944
Al.pz-vbc.UPF,7.46710050251256,60,4,0.02,0.7,-8,8,104.0869,0.57,-4.19100186,4,2.66134071350098
Al.pz-vbc.UPF,7.46712060301508,60,4,0.02,0.7,-8,8,104.0877,0.56,-4.19100187,4,2.67357182502747
Al.pz-vbc.UPF,7.46714070351759,60,4,0.02,0.7,-8,8,104.0886,0.55,-4.19100187,4,2.54872632026672
Al.pz-vbc.UPF,7.4671608040201,60,4,0.02,0.7,-8,8,104.0894,0.55,-4.19100187,4,2.4584264755249
Al.pz-vbc.UPF,7.46718090452261,60,4,0.02,0.7,-8,8,104.0902,0.54,-4.19100188,4,2.43608403205872
Al.pz-vbc.UPF,7.46720100502513,60,4,0.02,0.7,-8,8,104.0911,0.53,-4.19100188,4,2.36716723442078
Al.pz-vbc.UPF,7.46722110552764,60,4,0.02,0.7,-8,8,104.0919,0.53,-4.19100188,4,2.42089819908142
Al.pz-vbc.UPF,7.46724120603015,60,4,0.02,0.7,-8,8,104.0928,0.52,-4.19100188,4,2.43402504920959
Al.pz-vbc.UPF,7.46726130653266,60,4,0.02,0.7,-8,8,104.0936,0.51,-4.19100189,4,2.42507648468018
Al.pz-vbc.UPF,7.46728140703518,60,4,0.02,0.7,-8,8,104.0944,0.5,-4.19100189,4,2.43502354621887
Al.pz-vbc.UPF,7.46730150753769,60,4,0.02,0.7,-8,8,104.0953,0.5,-4.19100189,4,2.4202241897583
Al.pz-vbc.UPF,7.4673216080402,60,4,0.02,0.7,-8,8,104.0961,0.49,-4.1910019,4,2.42085027694702
Al.pz-vbc.UPF,7.46734170854271,60,4,0.02,0.7,-8,8,104.097,0.48,-4.1910019,4,2.48806500434875
Al.pz-vbc.UPF,7.46736180904523,60,4,0.02,0.7,-8,8,104.0978,0.48,-4.1910019,4,2.57884693145752
Al.pz-vbc.UPF,7.46738190954774,60,4,0.02,0.7,-8,8,104.0987,0.47,-4.1910019,4,2.6900839805603
Al.pz-vbc.UPF,7.46740201005025,60,4,0.02,0.7,-8,8,104.0995,0.46,-4.19100191,4,2.59549975395203
Al.pz-vbc.UPF,7.46742211055276,60,4,0.02,0.7,-8,8,104.1003,0.46,-4.19100191,4,2.50770926475525
Al.pz-vbc.UPF,7.46744221105528,60,4,0.02,0.7,-8,8,104.1012,0.45,-4.19100191,4,2.54143714904785
Al.pz-vbc.UPF,7.46746231155779,60,4,0.02,0.7,-8,8,104.102,0.44,-4.19100191,4,2.82640933990479
Al.pz-vbc.UPF,7.4674824120603,60,4,0.02,0.7,-8,8,104.1028,0.44,-4.19100192,4,4.35726618766785
Al.pz-vbc.UPF,7.46750251256281,60,4,0.02,0.7,-8,8,104.1037,0.43,-4.19100192,4,4.51102328300476
Al.pz-vbc.UPF,7.46752261306533,60,4,0.02,0.7,-8,8,104.1046,0.42,-4.19100192,4,4.16620302200317
Al.pz-vbc.UPF,7.46754271356784,60,4,0.02,0.7,-8,8,104.1054,0.42,-4.19100192,4,3.95665836334229
Al.pz-vbc.UPF,7.46756281407035,60,4,0.02,0.7,-8,8,104.1062,0.41,-4.19100193,4,3.92364072799683
Al.pz-vbc.UPF,7.46758291457286,60,4,0.02,0.7,-8,8,104.1071,0.4,-4.19100193,4,3.90202808380127
Al.pz-vbc.UPF,7.46760301507538,60,4,0.02,0.7,-8,8,104.1079,0.39,-4.19100193,4,4.15363168716431
Al.pz-vbc.UPF,7.46762311557789,60,4,0.02,0.7,-8,8,104.1087,0.39,-4.19100193,4,4.33576703071594
Al.pz-vbc.UPF,7.4676432160804,60,4,0.02,0.7,-8,8,104.1096,0.38,-4.19100194,4,4.07297015190125
Al.pz-vbc.UPF,7.46766331658291,60,4,0.02,0.7,-8,8,104.1104,0.37,-4.19100194,4,4.49769401550293
Al.pz-vbc.UPF,7.46768341708543,60,4,0.02,0.7,-8,8,104.1112,0.37,-4.19100194,4,4.10439300537109
Al.pz-vbc.UPF,7.46770351758794,60,4,0.02,0.7,-8,8,104.1121,0.36,-4.19100194,4,3.94231152534485
Al.pz-vbc.UPF,7.46772361809045,60,4,0.02,0.7,-8,8,104.113,0.35,-4.19100194,4,3.93017601966858
Al.pz-vbc.UPF,7.46774371859296,60,4,0.02,0.7,-8,8,104.1138,0.35,-4.19100195,4,4.08090591430664
Al.pz-vbc.UPF,7.46776381909548,60,4,0.02,0.7,-8,8,104.1146,0.34,-4.19100195,4,4.31956815719605
Al.pz-vbc.UPF,7.46778391959799,60,4,0.02,0.7,-8,8,104.1155,0.33,-4.19100195,4,4.33206725120544
Al.pz-vbc.UPF,7.4678040201005,60,4,0.02,0.7,-8,8,104.1163,0.33,-4.19100195,4,4.15732622146606
Al.pz-vbc.UPF,7.46782412060302,60,4,0.02,0.7,-8,8,104.1171,0.32,-4.19100195,4,4.18097186088562
Al.pz-vbc.UPF,7.46784422110553,60,4,0.02,0.7,-8,8,104.118,0.31,-4.19100195,4,4.0570216178894
Al.pz-vbc.UPF,7.46786432160804,60,4,0.02,0.7,-8,8,104.1188,0.31,-4.19100196,4,3.97869610786438
Al.pz-vbc.UPF,7.46788442211055,60,4,0.02,0.7,-8,8,104.1196,0.3,-4.19100196,4,4.00921940803528
Al.pz-vbc.UPF,7.46790452261307,60,4,0.02,0.7,-8,8,104.1205,0.29,-4.19100196,4,3.99927806854248
Al.pz-vbc.UPF,7.46792462311558,60,4,0.02,0.7,-8,8,104.1214,0.28,-4.19100196,4,4.0350136756897
Al.pz-vbc.UPF,7.46794472361809,60,4,0.02,0.7,-8,8,104.1222,0.28,-4.19100196,4,4.03250432014465
Al.pz-vbc.UPF,7.4679648241206,60,4,0.02,0.7,-8,8,104.123,0.27,-4.19100196,4,3.96988868713379
Al.pz-vbc.UPF,7.46798492462312,60,4,0.02,0.7,-8,8,104.1239,0.26,-4.19100197,4,3.99269938468933
Al.pz-vbc.UPF,7.46800502512563,60,4,0.02,0.7,-8,8,104.1247,0.26,-4.19100197,4,4.01772117614746
Al.pz-vbc.UPF,7.46802512562814,60,4,0.02,0.7,-8,8,104.1255,0.25,-4.19100197,4,3.99798393249512
Al.pz-vbc.UPF,7.46804522613065,60,4,0.02,0.7,-8,8,104.1264,0.24,-4.19100197,4,4.07184839248657
Al.pz-vbc.UPF,7.46806532663317,60,4,0.02,0.7,-8,8,104.1272,0.24,-4.19100197,4,4.04132723808289
Al.pz-vbc.UPF,7.46808542713568,60,4,0.02,0.7,-8,8,104.1281,0.23,-4.19100197,4,4.22388648986816
Al.pz-vbc.UPF,7.46810552763819,60,4,0.02,0.7,-8,8,104.1289,0.22,-4.19100198,4,4.01177644729614
Al.pz-vbc.UPF,7.4681256281407,60,4,0.02,0.7,-8,8,104.1298,0.22,-4.19100198,4,4.00353646278381
Al.pz-vbc.UPF,7.46814572864322,60,4,0.02,0.7,-8,8,104.1306,0.21,-4.19100198,4,4.01794004440308
Al.pz-vbc.UPF,7.46816582914573,60,4,0.02,0.7,-8,8,104.1314,0.2,-4.19100198,4,4.03775405883789
Al.pz-vbc.UPF,7.46818592964824,60,4,0.02,0.7,-8,8,104.1323,0.2,-4.19100198,4,4.0083270072937
Al.pz-vbc.UPF,7.46820603015075,60,4,0.02,0.7,-8,8,104.1331,0.19,-4.19100198,4,3.9962043762207
Al.pz-vbc.UPF,7.46822613065327,60,4,0.02,0.7,-8,8,104.134,0.18,-4.19100198,4,4.00403928756714
Al.pz-vbc.UPF,7.46824623115578,60,4,0.02,0.7,-8,8,104.1348,0.18,-4.19100198,4,4.01924729347229
Al.pz-vbc.UPF,7.46826633165829,60,4,0.02,0.7,-8,8,104.1356,0.17,-4.19100199,4,4.02327060699463
Al.pz-vbc.UPF,7.4682864321608,60,4,0.02,0.7,-8,8,104.1365,0.16,-4.19100199,4,4.04695272445679
Al.pz-vbc.UPF,7.46830653266332,60,4,0.02,0.7,-8,8,104.1373,0.15,-4.19100199,4,4.01948881149292
Al.pz-vbc.UPF,7.46832663316583,60,4,0.02,0.7,-8,8,104.1382,0.15,-4.19100199,4,4.02565002441406
Al.pz-vbc.UPF,7.46834673366834,60,4,0.02,0.7,-8,8,104.139,0.14,-4.19100199,4,4.03623104095459
Al.pz-vbc.UPF,7.46836683417085,60,4,0.02,0.7,-8,8,104.1399,0.13,-4.19100199,4,4.01000165939331
Al.pz-vbc.UPF,7.46838693467337,60,4,0.02,0.7,-8,8,104.1407,0.13,-4.19100199,4,4.04573774337769
Al.pz-vbc.UPF,7.46840703517588,60,4,0.02,0.7,-8,8,104.1415,0.12,-4.19100199,4,4.01246500015259
Al.pz-vbc.UPF,7.46842713567839,60,4,0.02,0.7,-8,8,104.1424,0.11,-4.19100199,4,4.04460787773132
Al.pz-vbc.UPF,7.4684472361809,60,4,0.02,0.7,-8,8,104.1432,0.11,-4.19100199,4,4.22152972221375
Al.pz-vbc.UPF,7.46846733668342,60,4,0.02,0.7,-8,8,104.144,0.1,-4.19100199,4,4.00712466239929
Al.pz-vbc.UPF,7.46848743718593,60,4,0.02,0.7,-8,8,104.1449,0.09,-4.19100199,4,4.01081800460815
Al.pz-vbc.UPF,7.46850753768844,60,4,0.02,0.7,-8,8,104.1458,0.09,-4.19100199,4,4.12578630447388
Al.pz-vbc.UPF,7.46852763819095,60,4,0.02,0.7,-8,8,104.1466,0.08,-4.19100199,4,4.07868218421936
Al.pz-vbc.UPF,7.46854773869347,60,4,0.02,0.7,-8,8,104.1474,0.07,-4.19100199,4,4.10455942153931
Al.pz-vbc.UPF,7.46856783919598,60,4,0.02,0.7,-8,8,104.1483,0.07,-4.19100199,4,3.99215579032898
Al.pz-vbc.UPF,7.46858793969849,60,4,0.02,0.7,-8,8,104.1491,0.06,-4.191002,4,4.01644897460938
Al.pz-vbc.UPF,7.46860804020101,60,4,0.02,0.7,-8,8,104.1499,0.05,-4.191002,4,3.99874448776245
Al.pz-vbc.UPF,7.46862814070352,60,4,0.02,0.7,-8,8,104.1508,0.05,-4.191002,4,4.06947135925293
Al.pz-vbc.UPF,7.46864824120603,60,4,0.02,0.7,-8,8,104.1516,0.04,-4.191002,4,4.07337260246277
Al.pz-vbc.UPF,7.46866834170854,60,4,0.02,0.7,-8,8,104.1524,0.03,-4.191002,4,4.19062638282776
