pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,1,109.744,-127.57,-4.20672267,4,0.527693748474121
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,2,109.744,-13.97,-4.17334007,4,0.580017566680908
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,3,109.744,-37.59,-4.19811294,4,0.81719183921814
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,4,109.744,-33.49,-4.1856047,4,1.07753109931946
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,5,109.744,-40,-4.18669168,4,1.70747923851013
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,6,109.744,-36.7,-4.18920497,4,2.25319242477417
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,7,109.744,-43,-4.18875882,4,3.51255178451538
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,8,109.744,-38.73,-4.19019999,4,4.97389984130859
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,9,109.744,-34.47,-4.18973183,4,6.93529462814331
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,10,109.744,-38.22,-4.19007958,4,8.1225917339325
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,1,109.744,-141.18,-4.20797098,6,0.564094066619873
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,2,109.744,-13.97,-4.17438548,4,0.606334924697876
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,3,109.744,-37.59,-4.19818648,4,0.904977083206177
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,4,109.744,-33.49,-4.18590067,4,1.15044283866882
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,5,109.744,-40.2,-4.18681598,4,1.87421655654907
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,6,109.744,-36.7,-4.18928183,4,2.42583775520325
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,7,109.744,-42.93,-4.18880415,4,3.60673856735229
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,8,109.744,-38.76,-4.19020834,4,4.59328460693359
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,9,109.744,-37.07,-4.18979372,4,6.32608127593994
Al.pz-vbc.UPF,7.6,60,4,0.006555555555556,0.7,-8,10,109.744,-37.59,-4.19009068,4,8.03282856941223
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,1,109.744,-105.14,-4.20927948,5,0.594346523284912
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,2,109.744,-13.97,-4.17541222,4,0.590765476226807
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,3,109.744,-37.6,-4.19825871,4,0.858720541000366
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,4,109.744,-33.67,-4.18615978,4,1.10565304756165
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,5,109.744,-38.84,-4.18695637,4,1.72664856910706
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,6,109.744,-36.8,-4.18932689,4,2.31361198425293
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,7,109.744,-42.28,-4.18884127,4,3.38170480728149
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,8,109.744,-39.05,-4.19021158,4,4.42489981651306
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,9,109.744,-37.62,-4.18985344,4,6.17037224769592
Al.pz-vbc.UPF,7.6,60,4,0.012111111111111,0.7,-8,10,109.744,-37.42,-4.19009772,4,7.95955920219421
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,1,109.744,-80.9,-4.21107564,4,0.536469221115112
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,2,109.744,-13.97,-4.17645762,4,0.590172529220581
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,3,109.744,-37.68,-4.19833117,4,0.851876735687256
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,4,109.744,-33.59,-4.18639524,4,1.12605476379395
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,5,109.744,-38.11,-4.18710721,4,1.73594760894775
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,6,109.744,-36.86,-4.18933724,4,2.36474967002869
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,7,109.744,-41.25,-4.18886953,4,3.44586896896362
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,8,109.744,-39.15,-4.19021968,4,4.44079661369324
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,9,109.744,-38.06,-4.18989191,4,6.1989016532898
Al.pz-vbc.UPF,7.6,60,4,0.017666666666667,0.7,-8,10,109.744,-37.41,-4.19010146,4,7.95224475860596
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,1,109.744,-65.86,-4.21304182,4,0.592550754547119
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,2,109.744,-13.97,-4.17748436,4,0.634100675582886
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,3,109.744,-38.26,-4.19839125,4,0.848692893981934
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,4,109.744,-33.34,-4.18665914,4,1.10891604423523
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,5,109.744,-38.52,-4.18722556,4,1.73979187011719
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,6,109.744,-36.83,-4.18935667,4,2.31303310394287
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,7,109.744,-40.54,-4.18888243,4,3.45216369628906
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,8,109.744,-38.98,-4.19021906,4,4.53588342666626
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,9,109.744,-38.15,-4.18991249,4,6.21114087104797
Al.pz-vbc.UPF,7.6,60,4,0.023222222222222,0.7,-8,10,109.744,-37.29,-4.19010554,4,7.98257279396057
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,1,109.744,-55.48,-4.21514768,4,0.547002553939819
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,2,109.744,-13.97,-4.17852976,4,0.611944437026978
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,3,109.744,-39.38,-4.19842584,4,0.838046789169312
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,4,109.744,-33.12,-4.1869605,4,1.09556579589844
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,5,109.744,-39.13,-4.18731671,4,1.72126317024231
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,6,109.744,-36.93,-4.18937695,4,2.31735134124756
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,7,109.744,-39.84,-4.18890398,4,3.42825961112976
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,8,109.744,-38.7,-4.19020346,4,4.34825205802918
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,9,109.744,-38.05,-4.18992987,4,6.10116982460022
Al.pz-vbc.UPF,7.6,60,4,0.028777777777778,0.7,-8,10,109.744,-37.22,-4.19010396,4,7.92061281204224
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,1,109.744,-48.16,-4.21727432,4,0.558549165725708
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,2,109.744,-13.97,-4.1795565,4,0.606473922729492
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,3,109.744,-40.55,-4.19843047,4,0.854782819747925
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,4,109.744,-33.05,-4.18726729,4,1.09163665771484
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,5,109.744,-39.28,-4.18739504,4,1.76228761672974
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,6,109.744,-37.04,-4.18938355,4,2.37942242622375
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,7,109.744,-39.15,-4.18894475,4,3.35961937904358
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,8,109.744,-38.38,-4.19017133,4,4.38029479980469
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,9,109.744,-37.83,-4.18994799,4,6.04911947250366
Al.pz-vbc.UPF,7.6,60,4,0.034333333333333,0.7,-8,10,109.744,-37.16,-4.19009325,4,7.74075078964233
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,1,109.744,-42.57,-4.21947655,4,0.58037519454956
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,2,109.744,-13.97,-4.18060191,4,0.577247619628906
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,3,109.744,-41.41,-4.19841126,4,0.839440107345581
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,4,109.744,-33.2,-4.18755812,4,1.10825824737549
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,5,109.744,-38.94,-4.18748134,4,1.73204040527344
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,6,109.744,-37.09,-4.189379,4,2.36653852462769
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,7,109.744,-38.45,-4.18900446,4,3.37755537033081
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,8,109.744,-38.07,-4.19012611,4,4.4842381477356
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,9,109.744,-37.55,-4.18996629,4,6.08318471908569
Al.pz-vbc.UPF,7.6,60,4,0.039888888888889,0.7,-8,10,109.744,-37.06,-4.19007498,4,7.71628737449646
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,1,109.744,-38.29,-4.22166354,4,0.562639474868774
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,2,109.744,-13.97,-4.18162864,4,0.610841989517212
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,3,109.744,-41.83,-4.19836991,4,0.794456720352173
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,4,109.744,-33.52,-4.18779765,4,1.07947897911072
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,5,109.744,-38.34,-4.18758162,4,1.7103385925293
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,6,109.744,-37.07,-4.18937047,4,2.28868317604065
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,7,109.744,-37.79,-4.1890772,4,3.36085438728333
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,8,109.744,-37.76,-4.19007752,4,4.42717170715332
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,9,109.744,-37.26,-4.18998086,4,6.03256225585938
Al.pz-vbc.UPF,7.6,60,4,0.045444444444445,0.7,-8,10,109.744,-36.94,-4.19005321,4,7.67546725273132
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,1,109.744,-34.82,-4.22390735,4,0.562646627426147
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,2,109.744,-13.97,-4.18267405,4,0.60767936706543
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,3,109.744,-41.93,-4.19829291,4,0.844261407852173
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,4,109.744,-33.87,-4.18799077,4,1.12807393074036
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,5,109.744,-37.65,-4.1877006,4,1.7837061882019
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,6,109.744,-37,-4.18936282,4,2.31082105636597
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,7,109.744,-37.19,-4.18916174,4,3.37237524986267
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,8,109.744,-37.47,-4.19003132,4,4.42236185073853
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,9,109.744,-37,-4.18999,4,6.08565664291382
Al.pz-vbc.UPF,7.6,60,4,0.051,0.7,-8,10,109.744,-36.8,-4.19003006,4,7.98208570480347
