pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,4,109.744,-33.49,-4.1856047,4,1.07630181312561
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,5,109.744,-40,-4.18669168,4,1.61918354034424
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,6,109.744,-36.7,-4.18920497,4,2.36913466453552
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,7,109.744,-43,-4.18875882,4,3.47526669502258
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,8,109.744,-38.73,-4.19019999,4,4.78521704673767
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,9,109.744,-34.47,-4.18973183,4,5.81264567375183
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,10,109.744,-38.22,-4.19007958,4,7.1297652721405
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,11,109.744,-35.85,-4.19023718,4,9.25347256660461
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,12,109.744,-36.46,-4.1898051,4,11.731769323349
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,13,109.744,-35.71,-4.18992375,4,14.8858087062836
Al.pz-vbc.UPF,7.6,60,4,0.001,0.7,-8,14,109.744,-35.53,-4.18974155,4,18.0442297458649
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,4,109.744,-33.49,-4.18588491,4,1.02868676185608
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,5,109.744,-40.25,-4.18680997,4,1.64288210868835
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,6,109.744,-36.7,-4.18927791,4,2.25534272193909
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,7,109.744,-42.93,-4.18880147,4,3.25829887390137
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,8,109.744,-38.75,-4.19020873,4,4.20173382759094
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,9,109.744,-37.04,-4.18979007,4,5.80717968940735
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,10,109.744,-37.64,-4.19009014,4,7.5215334892273
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,11,109.744,-35.83,-4.19023456,4,9.76123809814453
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,12,109.744,-36.56,-4.18979799,4,11.8395011425018
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,13,109.744,-35.76,-4.18992096,4,14.6218359470367
Al.pz-vbc.UPF,7.6,60,4,0.006263157894737,0.7,-8,14,109.744,-35.6,-4.18973973,4,17.4942028522491
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,4,109.744,-33.65,-4.18613455,4,1.06983351707459
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,5,109.744,-38.98,-4.18693944,4,1.61366152763367
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,6,109.744,-36.78,-4.18932473,4,2.11186480522156
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,7,109.744,-42.41,-4.1888375,4,3.12475347518921
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,8,109.744,-39.02,-4.19021064,4,4.10895872116089
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,9,109.744,-37.55,-4.18984768,4,5.5507664680481
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,10,109.744,-37.41,-4.19009726,4,7.56087374687195
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,11,109.744,-36.34,-4.19020727,4,9.36802339553833
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,12,109.744,-36.38,-4.18977801,4,11.356320142746
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,13,109.744,-35.64,-4.1899171,4,16.4305100440979
Al.pz-vbc.UPF,7.6,60,4,0.011526315789474,0.7,-8,14,109.744,-35.65,-4.1897282,4,20.3342289924622
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,4,109.744,-33.62,-4.18635571,4,1.13933491706848
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,5,109.744,-38.13,-4.18708463,4,1.82987880706787
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,6,109.744,-36.86,-4.1893354,4,2.39438104629517
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,7,109.744,-41.38,-4.18886636,4,3.55794501304626
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,8,109.744,-39.16,-4.19021875,4,4.74005222320557
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,9,109.744,-38.02,-4.1898874,4,6.40290260314941
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,10,109.744,-37.42,-4.19010077,4,8.16651749610901
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,11,109.744,-36.68,-4.19017251,4,10.5951673984528
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,12,109.744,-36.32,-4.18978537,4,13.1633417606354
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,13,109.744,-35.7,-4.18990838,4,16.5573468208313
Al.pz-vbc.UPF,7.6,60,4,0.016789473684211,0.7,-8,14,109.744,-35.71,-4.18973484,4,19.7869169712067
Al.pz-vbc.UPF,7.6,60,4,0.022052631578947,0.7,-8,4,109.744,-33.39,-4.18660338,4,1.17851185798645
Al.pz-vbc.UPF,7.6,60,4,0.022052631578947,0.7,-8,5,109.744,-38.39,-4.18720458,4,1.74755382537842
Al.pz-vbc.UPF,7.6,60,4,0.022052631578947,0.7,-8,6,109.744,-36.83,-4.18935202,4,2.35899472236633
Al.pz-vbc.UPF,7.6,60,4,0.022052631578947,0.7,-8,7,109.744,-40.68,-4.18887996,4,3.53657007217407
