pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,4,109.744,13.94,-5.03441686,6,2.106445550918579
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,5,109.744,7.39,-5.03550675,6,2.944439172744751
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,6,109.744,10.4,-5.03805716,6,3.774984359741211
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,7,109.744,4.13,-5.03764652,5,4.779125928878784
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,8,109.744,8.01,-5.03904191,5,6.373995304107666
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,9,109.744,4.77,-5.0385834,5,8.57789921760559
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,10,109.744,8.71,-5.03892521,6,11.805565118789673
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,11,109.744,11.37,-5.0390639,6,16.3818838596344
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,12,109.744,10.78,-5.03863898,6,21.733386993408203
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,13,109.744,11.13,-5.03875727,5,23.200056076049805
Al.pbe-uspp.UPF,7.6,60,4,0.001,0.7,-8,14,109.744,11.67,-5.03856393,6,31.01130771636963
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,4,109.744,13.94,-5.03469714,6,2.206472396850586
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,5,109.744,7.05,-5.03562785,6,3.490722894668579
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,6,109.744,10.4,-5.03813023,6,4.138177156448364
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,7,109.744,4.25,-5.03768814,5,5.265153884887695
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,8,109.744,7.97,-5.03904957,5,7.20276665687561
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,9,109.744,8.07,-5.03863376,5,9.410859107971191
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,10,109.744,8.9,-5.03892979,6,13.05992603302002
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,11,109.744,11.22,-5.03906203,6,16.82478404045105
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,12,109.744,10.4,-5.03863495,6,21.2566134929657
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,13,109.744,11.18,-5.03875261,5,23.83962607383728
Al.pbe-uspp.UPF,7.6,60,4,0.006263157894736842,0.7,-8,14,109.744,11.4,-5.03856333,6,32.10895895957947
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,4,109.744,13.8,-5.03495183,6,2.2417140007019043
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,5,109.744,8.2,-5.03574543,5,2.9622745513916016
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,6,109.744,10.35,-5.03818048,6,4.842768669128418
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,7,109.744,4.28,-5.03772057,5,5.413370847702026
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,8,109.744,7.78,-5.03905839,6,7.761039972305298
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,9,109.744,8.53,-5.03869206,5,9.667634725570679
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,10,109.744,9.09,-5.0389338,6,15.444196939468384
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,11,109.744,10.52,-5.0390442,6,22.69348907470703
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,12,109.744,10.29,-5.03861316,6,23.839390993118286
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,13,109.744,11.21,-5.03874731,5,24.77172088623047
Al.pbe-uspp.UPF,7.6,60,4,0.011526315789473683,0.7,-8,14,109.744,11.18,-5.03855299,6,31.382681131362915
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,4,109.744,13.79,-5.03517272,6,2.313166379928589
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,5,109.744,9.18,-5.03588094,5,3.308682441711426
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,6,109.744,10.23,-5.03819055,6,3.9994442462921143
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,7,109.744,5.15,-5.0377374,5,5.13969349861145
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,8,109.744,7.6,-5.03907229,6,6.9484052658081055
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,9,109.744,8.38,-5.03873581,5,8.501096963882446
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,10,109.744,9.11,-5.03893812,6,12.366401433944702
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,11,109.744,10.1,-5.03901453,6,15.498083353042603
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,12,109.744,10.33,-5.03861987,6,19.188006162643433
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,13,109.744,11.13,-5.03873827,5,21.914057970046997
Al.pbe-uspp.UPF,7.6,60,4,0.016789473684210528,0.7,-8,14,109.744,11.04,-5.03856107,6,28.64447045326233
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,4,109.744,13.98,-5.03541331,6,2.0059916973114014
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,5,109.744,9.04,-5.03600551,5,2.6014480590820312
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,6,109.744,10.23,-5.03820174,6,3.759840250015259
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,7,109.744,5.87,-5.03774201,5,4.844546794891357
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,8,109.744,7.65,-5.03907437,6,7.1664183139801025
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,9,109.744,8.37,-5.03875765,5,8.469038486480713
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,10,109.744,9.27,-5.03894226,6,11.852885723114014
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,11,109.744,9.9,-5.0389856,6,15.121481657028198
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,12,109.744,10.42,-5.03864142,6,18.50005006790161
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,13,109.744,10.96,-5.03872676,5,20.990281581878662
Al.pbe-uspp.UPF,7.6,60,4,0.02205263157894737,0.7,-8,14,109.744,10.95,-5.03858515,6,29.74512481689453
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,4,109.744,14.18,-5.03568026,6,2.024785041809082
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,5,109.744,8.34,-5.03610573,5,2.676241397857666
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,6,109.744,10.15,-5.03821976,6,3.9186787605285645
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,7,109.744,6.53,-5.03775062,5,4.888956785202026
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,8,109.744,7.86,-5.03906157,6,6.7802581787109375
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,9,109.744,8.5,-5.0387723,5,8.19090485572815
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,10,109.744,9.39,-5.03894282,6,11.861103773117065
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,11,109.744,9.87,-5.03895684,6,14.754000902175903
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,12,109.744,10.47,-5.0386661,6,18.28040313720703
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,13,109.744,10.8,-5.03871794,5,21.72778058052063
Al.pbe-uspp.UPF,7.6,60,4,0.02731578947368421,0.7,-8,14,109.744,10.84,-5.03861548,6,27.65960717201233
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,4,109.744,14.3,-5.03597093,6,1.966118335723877
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,5,109.744,7.83,-5.03618962,5,2.6201515197753906
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,6,109.744,10.01,-5.03823013,6,3.679821491241455
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,7,109.744,7.21,-5.03777674,5,4.703813314437866
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,8,109.744,8.16,-5.03903236,6,6.79161524772644
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,9,109.744,8.72,-5.03878676,5,8.384317398071289
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,10,109.744,9.49,-5.03893521,6,11.504666328430176
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,11,109.744,9.91,-5.03892553,6,14.96069049835205
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,12,109.744,10.47,-5.03868941,6,18.25167441368103
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,13,109.744,10.66,-5.03871285,5,20.797643423080444
Al.pbe-uspp.UPF,7.6,60,4,0.032578947368421055,0.7,-8,14,109.744,10.72,-5.03864617,6,27.75924277305603
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,4,109.744,14.24,-5.0362506,6,1.9585380554199219
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,5,109.744,7.82,-5.03626753,5,2.630014657974243
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,6,109.744,9.91,-5.03822929,6,3.6990931034088135
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,7,109.744,7.88,-5.03781974,5,4.751886367797852
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,8,109.744,8.48,-5.03899086,6,6.712320327758789
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,9,109.744,9.01,-5.03880109,5,8.169575691223145
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,10,109.744,9.6,-5.03891988,6,11.752894163131714
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,11,109.744,9.98,-5.03889381,6,15.098636388778687
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,12,109.744,10.45,-5.03870774,6,18.28883671760559
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,13,109.744,10.56,-5.03871119,5,19.481337785720825
Al.pbe-uspp.UPF,7.6,60,4,0.03784210526315789,0.7,-8,14,109.744,10.61,-5.03867196,6,26.33766770362854
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,4,109.744,13.98,-5.03650393,6,1.9035122394561768
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,5,109.744,8.2,-5.03635498,5,2.5815749168395996
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,6,109.744,9.87,-5.03822187,6,3.522996664047241
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,7,109.744,8.56,-5.03787825,5,4.505307912826538
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,8,109.744,8.8,-5.03894215,6,6.609726667404175
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,9,109.744,9.32,-5.03881384,5,8.094882011413574
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,10,109.744,9.74,-5.03889912,6,11.342193126678467
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,11,109.744,10.06,-5.03886237,6,14.780720472335815
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,12,109.744,10.45,-5.0387208,6,17.85346269607544
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,13,109.744,10.51,-5.03871214,6,22.95466160774231
Al.pbe-uspp.UPF,7.6,60,4,0.04310526315789474,0.7,-8,14,109.744,10.54,-5.0386923,6,26.618948936462402
Al.pbe-uspp.UPF,7.6,60,4,0.04836842105263158,0.7,-8,4,109.744,13.64,-5.03671201,6,1.9865028858184814
Al.pbe-uspp.UPF,7.6,60,4,0.04836842105263158,0.7,-8,5,109.744,8.79,-5.03645611,5,2.5512819290161133
