pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pz-vbc.UPF,7.6,20,4,0.02,0.7,-8,10,109.744,-38.83,-4.18867796,4,1.09501624107361
Al.pz-vbc.UPF,7.6,20,6,0.02,0.7,-8,10,109.744,-38.83,-4.18867791,4,1.15224766731262
Al.pz-vbc.UPF,7.6,20,8,0.02,0.7,-8,10,109.744,-38.83,-4.18867793,4,1.14391946792603
Al.pz-vbc.UPF,7.6,20,10,0.02,0.7,-8,10,109.744,-38.83,-4.18867791,4,1.10621738433838
Al.pz-vbc.UPF,7.6,40,4,0.02,0.7,-8,10,109.744,-37.91,-4.19003598,4,3.41566848754883
Al.pz-vbc.UPF,7.6,40,6,0.02,0.7,-8,10,109.744,-37.91,-4.19003592,4,3.55860280990601
Al.pz-vbc.UPF,7.6,40,8,0.02,0.7,-8,10,109.744,-37.92,-4.19003592,4,3.72287821769714
Al.pz-vbc.UPF,7.6,40,10,0.02,0.7,-8,10,109.744,-37.92,-4.19003592,4,3.66652941703796
Al.pz-vbc.UPF,7.6,60,4,0.02,0.7,-8,10,109.744,-37.36,-4.19010336,4,8.52945876121521
Al.pz-vbc.UPF,7.6,60,6,0.02,0.7,-8,10,109.744,-37.36,-4.19010336,4,8.35495948791504
Al.pz-vbc.UPF,7.6,60,8,0.02,0.7,-8,10,109.744,-37.37,-4.19010336,4,8.27534580230713
Al.pz-vbc.UPF,7.6,60,10,0.02,0.7,-8,10,109.744,-37.37,-4.19010336,4,8.29242944717407
Al.pz-vbc.UPF,7.6,80,4,0.02,0.7,-8,10,109.744,-37.36,-4.19010378,4,6.66238594055176
Al.pz-vbc.UPF,7.6,80,6,0.02,0.7,-8,10,109.744,-37.37,-4.19010378,4,6.71387004852295
Al.pz-vbc.UPF,7.6,80,8,0.02,0.7,-8,10,109.744,-37.38,-4.19010378,4,6.78864121437073
Al.pz-vbc.UPF,7.6,80,10,0.02,0.7,-8,10,109.744,-37.36,-4.19010378,5,8.07444477081299
Al.pz-vbc.UPF,7.6,100,4,0.02,0.7,-8,10,109.744,-37.36,-4.19010403,4,14.2923369407654
Al.pz-vbc.UPF,7.6,100,6,0.02,0.7,-8,10,109.744,-37.37,-4.19010403,4,14.247971534729
Al.pz-vbc.UPF,7.6,100,8,0.02,0.7,-8,10,109.744,-37.36,-4.19010403,5,16.3535702228546
Al.pz-vbc.UPF,7.6,100,10,0.02,0.7,-8,10,109.744,-37.36,-4.19010403,5,16.293564081192
Al.pz-vbc.UPF,7.6,120,4,0.02,0.7,-8,10,109.744,-37.37,-4.19010406,4,22.3346519470215
Al.pz-vbc.UPF,7.6,120,6,0.02,0.7,-8,10,109.744,-37.37,-4.19010406,4,22.3272428512573
Al.pz-vbc.UPF,7.6,120,8,0.02,0.7,-8,10,109.744,-37.36,-4.19010406,5,25.5611071586609
Al.pz-vbc.UPF,7.6,120,10,0.02,0.7,-8,10,109.744,-37.36,-4.19010406,5,25.7206182479858
