pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pbe-uspp.UPF,7.6,20,4,0.02,0.7,-8,10,109.744,9.09,-5.03792103,6,1.964132308959961
Al.pbe-uspp.UPF,7.6,20,6,0.02,0.7,-8,10,109.744,9.16,-5.0379315,6,2.2658071517944336
Al.pbe-uspp.UPF,7.6,20,8,0.02,0.7,-8,10,109.744,9.17,-5.03793535,6,2.4696297645568848
Al.pbe-uspp.UPF,7.6,20,10,0.02,0.7,-8,10,109.744,9.17,-5.0379368,6,2.7423627376556396
Al.pbe-uspp.UPF,7.6,40,4,0.02,0.7,-8,10,109.744,9.18,-5.03891407,6,5.748841047286987
Al.pbe-uspp.UPF,7.6,40,6,0.02,0.7,-8,10,109.744,9.18,-5.03891587,6,5.99633002281189
Al.pbe-uspp.UPF,7.6,40,8,0.02,0.7,-8,10,109.744,9.18,-5.03891613,6,7.110002040863037
Al.pbe-uspp.UPF,7.6,40,10,0.02,0.7,-8,10,109.744,9.18,-5.03891615,6,6.7182440757751465
Al.pbe-uspp.UPF,7.6,60,4,0.02,0.7,-8,10,109.744,9.2,-5.03894071,6,14.071797370910645
Al.pbe-uspp.UPF,7.6,60,6,0.02,0.7,-8,10,109.744,9.2,-5.03894098,6,13.480201244354248
Al.pbe-uspp.UPF,7.6,60,8,0.02,0.7,-8,10,109.744,9.21,-5.03894099,6,13.500524520874023
Al.pbe-uspp.UPF,7.6,60,10,0.02,0.7,-8,10,109.744,9.21,-5.03894098,6,13.858406782150269
Al.pbe-uspp.UPF,7.6,80,4,0.02,0.7,-8,10,109.744,9.23,-5.03894742,6,10.823825359344482
Al.pbe-uspp.UPF,7.6,80,6,0.02,0.7,-8,10,109.744,9.23,-5.03894744,6,11.383493900299072
Al.pbe-uspp.UPF,7.6,80,8,0.02,0.7,-8,10,109.744,9.23,-5.03894743,6,11.745538473129272
Al.pbe-uspp.UPF,7.6,80,10,0.02,0.7,-8,10,109.744,9.23,-5.03894743,6,12.066208124160767
Al.pbe-uspp.UPF,7.6,100,4,0.02,0.7,-8,10,109.744,9.23,-5.03894946,6,22.897979497909546
Al.pbe-uspp.UPF,7.6,100,6,0.02,0.7,-8,10,109.744,9.23,-5.03894945,6,24.82405400276184
Al.pbe-uspp.UPF,7.6,100,8,0.02,0.7,-8,10,109.744,9.23,-5.03894945,6,23.177465200424194
Al.pbe-uspp.UPF,7.6,100,10,0.02,0.7,-8,10,109.744,9.23,-5.03894945,6,25.958189010620117
Al.pbe-uspp.UPF,7.6,120,4,0.02,0.7,-8,10,109.744,9.23,-5.03895018,6,35.52593374252319
Al.pbe-uspp.UPF,7.6,120,6,0.02,0.7,-8,10,109.744,9.23,-5.03895017,6,47.10112285614014
Al.pbe-uspp.UPF,7.6,120,8,0.02,0.7,-8,10,109.744,9.23,-5.03895017,6,38.396589517593384
Al.pbe-uspp.UPF,7.6,120,10,0.02,0.7,-8,10,109.744,9.23,-5.03895017,6,37.49506688117981
