pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pbe-uspp.UPF,7.6,40,4,0.02,0.7,-8,10,109.744,9.18,-5.03891407,6,4.996979713439941
Al.pbe-uspp.UPF,7.6,40,5,0.02,0.7,-8,10,109.744,9.18,-5.03891553,6,4.79153847694397
Al.pbe-uspp.UPF,7.6,40,6,0.02,0.7,-8,10,109.744,9.18,-5.03891587,6,4.81719708442688
Al.pbe-uspp.UPF,7.6,40,7,0.02,0.7,-8,10,109.744,9.18,-5.03891601,6,4.975826978683472
Al.pbe-uspp.UPF,7.6,40,8,0.02,0.7,-8,10,109.744,9.18,-5.03891613,6,5.307520151138306
Al.pbe-uspp.UPF,7.6,40,9,0.02,0.7,-8,10,109.744,9.18,-5.03891614,6,5.3435890674591064
Al.pbe-uspp.UPF,7.6,40,10,0.02,0.7,-8,10,109.744,9.18,-5.03891615,6,5.090861082077026
Al.pbe-uspp.UPF,7.6,40,11,0.02,0.7,-8,10,109.744,9.18,-5.03891615,6,5.084310293197632
Al.pbe-uspp.UPF,7.6,50,4,0.02,0.7,-8,10,109.744,9.24,-5.03893223,6,5.773566484451294
Al.pbe-uspp.UPF,7.6,50,5,0.02,0.7,-8,10,109.744,9.24,-5.03893267,6,6.062813997268677
Al.pbe-uspp.UPF,7.6,50,6,0.02,0.7,-8,10,109.744,9.24,-5.03893279,6,5.779371976852417
Al.pbe-uspp.UPF,7.6,50,7,0.02,0.7,-8,10,109.744,9.24,-5.03893283,6,6.117980003356934
Al.pbe-uspp.UPF,7.6,50,8,0.02,0.7,-8,10,109.744,9.24,-5.03893285,6,6.021065950393677
Al.pbe-uspp.UPF,7.6,50,9,0.02,0.7,-8,10,109.744,9.24,-5.03893285,6,6.289167881011963
Al.pbe-uspp.UPF,7.6,50,10,0.02,0.7,-8,10,109.744,9.24,-5.03893284,6,6.178691387176514
Al.pbe-uspp.UPF,7.6,50,11,0.02,0.7,-8,10,109.744,9.24,-5.03893284,6,6.267637491226196
Al.pbe-uspp.UPF,7.6,60,4,0.02,0.7,-8,10,109.744,9.2,-5.03894071,6,10.029928922653198
Al.pbe-uspp.UPF,7.6,60,5,0.02,0.7,-8,10,109.744,9.2,-5.03894093,6,10.215256929397583
Al.pbe-uspp.UPF,7.6,60,6,0.02,0.7,-8,10,109.744,9.2,-5.03894098,6,10.259380102157593
Al.pbe-uspp.UPF,7.6,60,7,0.02,0.7,-8,10,109.744,9.21,-5.03894099,6,10.303396701812744
