pseudo_name,a_0,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points,cell_volume,pressure,total_energy,n_it,sim_time
Al.pz-vbc.UPF,7.6,60,4,0.02,0.1,-9,8,109.744,-39.1,-4.19022088,8,6.67032408714294
Al.pz-vbc.UPF,7.6,60,4,0.02,0.1,-8,8,109.744,-39.09,-4.19022088,7,6.07416772842407
Al.pz-vbc.UPF,7.6,60,4,0.02,0.1,-7,8,109.744,-39.09,-4.19022088,6,5.48061943054199
Al.pz-vbc.UPF,7.6,60,4,0.02,0.1,-6,8,109.744,-39.02,-4.19022087,5,4.91337490081787
Al.pz-vbc.UPF,7.6,60,4,0.02,0.1,-5,8,109.744,-39.18,-4.19022037,3,3.81633710861206
Al.pz-vbc.UPF,7.6,60,4,0.02,0.1,-4,8,109.744,-39.18,-4.19022037,3,3.72388625144958
Al.pz-vbc.UPF,7.6,60,4,0.02,0.2,-9,8,109.744,-39.1,-4.19022088,7,5.99374508857727
Al.pz-vbc.UPF,7.6,60,4,0.02,0.2,-8,8,109.744,-39.11,-4.19022088,5,4.92821669578552
Al.pz-vbc.UPF,7.6,60,4,0.02,0.2,-7,8,109.744,-39.11,-4.19022088,5,4.90207242965698
Al.pz-vbc.UPF,7.6,60,4,0.02,0.2,-6,8,109.744,-39.11,-4.19022088,5,4.85517454147339
Al.pz-vbc.UPF,7.6,60,4,0.02,0.2,-5,8,109.744,-39.13,-4.19022052,3,3.63297867774963
Al.pz-vbc.UPF,7.6,60,4,0.02,0.2,-4,8,109.744,-39.13,-4.19022052,3,3.66644072532654
Al.pz-vbc.UPF,7.6,60,4,0.02,0.3,-9,8,109.744,-39.1,-4.19022088,7,5.95421004295349
Al.pz-vbc.UPF,7.6,60,4,0.02,0.3,-8,8,109.744,-39.11,-4.19022088,5,4.84291911125183
Al.pz-vbc.UPF,7.6,60,4,0.02,0.3,-7,8,109.744,-39.11,-4.19022088,5,4.74302291870117
Al.pz-vbc.UPF,7.6,60,4,0.02,0.3,-6,8,109.744,-39.05,-4.19022087,4,4.30870866775513
Al.pz-vbc.UPF,7.6,60,4,0.02,0.3,-5,8,109.744,-39.11,-4.19022064,3,3.71712684631348
Al.pz-vbc.UPF,7.6,60,4,0.02,0.3,-4,8,109.744,-39.11,-4.19022064,3,3.70197749137878
Al.pz-vbc.UPF,7.6,60,4,0.02,0.4,-9,8,109.744,-39.11,-4.19022088,5,4.84864139556885
Al.pz-vbc.UPF,7.6,60,4,0.02,0.4,-8,8,109.744,-39.11,-4.19022088,5,4.86264681816101
Al.pz-vbc.UPF,7.6,60,4,0.02,0.4,-7,8,109.744,-39.11,-4.19022088,5,4.79656004905701
Al.pz-vbc.UPF,7.6,60,4,0.02,0.4,-6,8,109.744,-39.09,-4.19022088,4,4.27276253700256
Al.pz-vbc.UPF,7.6,60,4,0.02,0.4,-5,8,109.744,-39.12,-4.19022073,3,3.65036940574646
Al.pz-vbc.UPF,7.6,60,4,0.02,0.4,-4,8,109.744,-39.12,-4.19022073,3,3.63166785240173
Al.pz-vbc.UPF,7.6,60,4,0.02,0.5,-9,8,109.744,-39.1,-4.19022088,5,4.83314633369446
Al.pz-vbc.UPF,7.6,60,4,0.02,0.5,-8,8,109.744,-39.1,-4.19022088,5,4.8360583782196
Al.pz-vbc.UPF,7.6,60,4,0.02,0.5,-7,8,109.744,-39.11,-4.19022088,4,4.25472545623779
Al.pz-vbc.UPF,7.6,60,4,0.02,0.5,-6,8,109.744,-39.11,-4.19022088,4,4.34635710716248
Al.pz-vbc.UPF,7.6,60,4,0.02,0.5,-5,8,109.744,-39.13,-4.19022079,3,3.65027642250061
Al.pz-vbc.UPF,7.6,60,4,0.02,0.5,-4,8,109.744,-39.13,-4.19022079,3,3.64175033569336
Al.pz-vbc.UPF,7.6,60,4,0.02,0.6,-9,8,109.744,-39.1,-4.19022088,5,4.7687509059906
Al.pz-vbc.UPF,7.6,60,4,0.02,0.6,-8,8,109.744,-39.1,-4.19022088,5,4.77144718170166
Al.pz-vbc.UPF,7.6,60,4,0.02,0.6,-7,8,109.744,-39.1,-4.19022088,4,4.31189107894897
Al.pz-vbc.UPF,7.6,60,4,0.02,0.6,-6,8,109.744,-39.16,-4.19022083,3,3.67579030990601
Al.pz-vbc.UPF,7.6,60,4,0.02,0.6,-5,8,109.744,-39.16,-4.19022083,3,3.69247436523437
Al.pz-vbc.UPF,7.6,60,4,0.02,0.6,-4,8,109.744,-39.16,-4.19022083,3,3.6061007976532
Al.pz-vbc.UPF,7.6,60,4,0.02,0.7,-9,8,109.744,-39.1,-4.19022088,5,4.83199334144592
Al.pz-vbc.UPF,7.6,60,4,0.02,0.7,-8,8,109.744,-39.1,-4.19022088,4,4.19612002372742
Al.pz-vbc.UPF,7.6,60,4,0.02,0.7,-7,8,109.744,-39.1,-4.19022088,4,4.27097702026367
Al.pz-vbc.UPF,7.6,60,4,0.02,0.7,-6,8,109.744,-39.19,-4.19022085,3,3.59963607788086
Al.pz-vbc.UPF,7.6,60,4,0.02,0.7,-5,8,109.744,-39.19,-4.19022085,3,3.64503312110901
Al.pz-vbc.UPF,7.6,60,4,0.02,0.7,-4,8,109.744,-39.19,-4.19022085,3,3.63948369026184
Al.pz-vbc.UPF,7.6,60,4,0.02,0.8,-9,8,109.744,-39.1,-4.19022088,5,4.85113978385925
Al.pz-vbc.UPF,7.6,60,4,0.02,0.8,-8,8,109.744,-39.1,-4.19022088,4,4.29861545562744
Al.pz-vbc.UPF,7.6,60,4,0.02,0.8,-7,8,109.744,-39.1,-4.19022088,4,4.351975440979
Al.pz-vbc.UPF,7.6,60,4,0.02,0.8,-6,8,109.744,-39.21,-4.19022085,3,3.70631074905395
Al.pz-vbc.UPF,7.6,60,4,0.02,0.8,-5,8,109.744,-39.21,-4.19022085,3,3.70256805419922
Al.pz-vbc.UPF,7.6,60,4,0.02,0.8,-4,8,109.744,-39.21,-4.19022085,3,3.70796608924866
Al.pz-vbc.UPF,7.6,60,4,0.02,0.9,-9,8,109.744,-39.1,-4.19022088,5,4.83231449127197
Al.pz-vbc.UPF,7.6,60,4,0.02,0.9,-8,8,109.744,-39.1,-4.19022088,4,4.34528398513794
Al.pz-vbc.UPF,7.6,60,4,0.02,0.9,-7,8,109.744,-39.23,-4.19022086,3,3.76054286956787
Al.pz-vbc.UPF,7.6,60,4,0.02,0.9,-6,8,109.744,-39.23,-4.19022086,3,3.8769257068634
Al.pz-vbc.UPF,7.6,60,4,0.02,0.9,-5,8,109.744,-39.23,-4.19022086,3,3.73562693595886
Al.pz-vbc.UPF,7.6,60,4,0.02,0.9,-4,8,109.744,-39.65,-4.19021995,2,3.12706708908081
