pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z,atom,1,z,atom,2,z,atom,3,z,atom,4,z,atom,5
Al.pz-vbc.UPF,7.46834,10,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.86157944,12,48.8006892204285,-0.0330422845,0.7014228904,1.414214,2.127005041,2.8614712342,,,,,,,,
Al.pz-vbc.UPF,7.46834,12,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.8619586,12,55.6224999427795,-0.0352983682,0.7008932847,1.414214,2.1275341588,2.8637253185,,,,,,,,
Al.pz-vbc.UPF,7.46834,14,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.8620805,12,55.2821502685547,-0.0359138587,0.7008276643,1.414214,2.1276000022,2.864341215,,,,,,,,
Al.pz-vbc.UPF,7.46834,16,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.86211947,12,60.3832745552063,-0.0362160193,0.700808625,1.414214,2.1276184192,2.8646432011,,,,,,,,
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.86214031,12,70.9364881515503,-0.0362895431,0.7007545143,1.414214,2.1276733751,2.8647173243,,,,,,,,
Al.pz-vbc.UPF,7.46834,20,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.8621302,12,71.0091812610626,-0.0361209208,0.7007644185,1.414214,2.1276635529,2.8645458632,,,,,,,,
Al.pz-vbc.UPF,7.46834,22,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.86213676,12,76.8456962108612,-0.0362839036,0.7008435049,1.414214,2.1275852512,2.8647142103,,,,,,,,
Al.pz-vbc.UPF,7.46834,24,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.8621367,12,81.9190425872803,-0.0362451778,0.7008335733,1.414214,2.1275904988,2.8646738666,,,,,,,,
Al.pz-vbc.UPF,7.46834,26,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.86213171,12,82.2642214298248,-0.0362348757,0.7007840677,1.414214,2.1276431829,2.864665943,,,,,,,,
Al.pz-vbc.UPF,7.46834,28,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.86213543,12,95.7908055782318,-0.0361819303,0.7007641882,1.414214,2.1276616498,2.8646077675,,,,,,,,
Al.pz-vbc.UPF,7.46834,30,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.86214412,12,100.971846818924,-0.0362152941,0.7007416372,1.414214,2.1276864939,2.8646456474,,,,,,,,
Al.pz-vbc.UPF,7.46834,32,5,20,4,0.02,0.7,-6,10,1,1,1,0,-20.86213721,12,101.493087291718,-0.0362582524,0.7007203769,1.414214,2.1277057932,2.8646887848,,,,,,,,
