pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7
Al.pz-vbc.UPF,7.46834,10,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.18005417,18,255.01054048538208,-0.2981033641,0.4399699139,1.1621738096,2.12132,3.0804663706,3.8026706913,4.5407438305
Al.pz-vbc.UPF,7.46834,12,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.17825865,18,262.97351479530334,-0.2907980048,0.4448133144,1.1649162121,2.12132,3.0777242987,3.7978285972,4.5334413446
Al.pz-vbc.UPF,7.46834,14,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.17774334,18,266.37059926986694,-0.2887259831,0.4462268717,1.1657415677,2.12132,3.0768984524,3.7964131623,4.5313658354
Al.pz-vbc.UPF,7.46834,16,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.17756964,18,280.1878364086151,-0.2880511744,0.4466791125,1.1660051663,2.12132,3.076633334,3.7959599505,4.5306896395
Al.pz-vbc.UPF,7.46834,18,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.17752779,18,293.19636368751526,-0.2878379858,0.4468125695,1.1660793619,2.12132,3.0765571258,3.7958227238,4.5304719691
Al.pz-vbc.UPF,7.46834,20,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.17751429,18,338.5794813632965,-0.2877833264,0.4468370525,1.1660972096,2.12132,3.076541751,3.7958012028,4.5304231592
Al.pz-vbc.UPF,7.46834,22,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.17751015,18,339.18192291259766,-0.2877342576,0.4468951912,1.1661279522,2.12132,3.0765118916,3.7957445328,4.5303742697
Al.pz-vbc.UPF,7.46834,24,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.17750109,18,303.9300937652588,-0.2880472853,0.4466555857,1.1659759594,2.12132,3.0766648596,3.795985674,4.530691616
Al.pz-vbc.UPF,7.46834,26,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.17750048,18,319.20115208625793,-0.2877559778,0.4468595605,1.1661101567,2.12132,3.0765296844,3.7957815579,4.5304008407
Al.pz-vbc.UPF,7.46834,28,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.1775062,18,351.78216338157654,-0.2877362653,0.4469294949,1.1661650924,2.12132,3.0764768899,3.795711465,4.5303725549
Al.pz-vbc.UPF,7.46834,30,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.1775023,18,361.0422441959381,-0.2877676311,0.4468422245,1.1660964909,2.12132,3.0765434628,3.795799026,4.5304076732
Al.pz-vbc.UPF,7.46834,32,7,20,4,0.02,0.7,-6,12,1,'1 1 0',-29.17750005,18,446.183002948761,-0.2882977973,0.4465364005,1.1659070663,2.12132,3.0767312437,3.7961030759,4.5309399699
