pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11
Al.pz-vbc.UPF,7.46834,10,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99702075,15,815.1623480319977,-0.0227815245,0.6977856506,1.4145342572,2.1262006495,2.8297453842,3.535534,4.2413224624,4.9448669156,5.656532542,6.3732816602,7.093847538
Al.pz-vbc.UPF,7.46834,12,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99678015,14,821.303869009018,-0.0197334926,0.7001421361,1.4167797318,2.1261698582,2.8294908379,3.535534,4.2415795219,4.9449009056,5.6542893633,6.3709239161,7.0907991775
Al.pz-vbc.UPF,7.46834,14,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99673823,14,773.2071776390076,-0.0193304902,0.7004737931,1.41694723,2.1261900277,2.8294444178,3.535534,4.2416239565,4.9448798548,5.6541230944,6.3705964281,7.0903997153
Al.pz-vbc.UPF,7.46834,16,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99672047,14,837.1817321777344,-0.0191783616,0.7006066157,1.417043881,2.1261690175,2.82939859,3.535534,4.241668294,4.9448969242,5.654023532,6.3704616313,7.09024744
Al.pz-vbc.UPF,7.46834,18,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99666025,10,595.0716979503632,-0.0151858732,0.7063286005,1.4195150361,2.1252002243,2.8266724507,3.535534,4.2443951587,4.9458675471,5.6515529563,6.364738118,7.0862534346
Al.pz-vbc.UPF,7.46834,20,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99671467,14,951.4271881580353,-0.0190050694,0.7008907882,1.4173014697,2.1261518167,2.8292940588,3.535534,4.2417742327,4.9449160682,5.6537665801,6.3701770756,7.0900730314
Al.pz-vbc.UPF,7.46834,22,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99665198,10,676.0459644794464,-0.0150996487,0.7063576021,1.4194974906,2.1251825714,2.8266690262,3.535534,4.2443992228,4.9458850524,5.6515707175,6.3647112913,7.0861685719
Al.pz-vbc.UPF,7.46834,24,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99671139,14,874.1778235435486,-0.019045376,0.7005323674,1.4165451432,2.1261539241,2.8294275659,3.535534,4.2416408879,4.9449140976,5.6545226627,6.3705354681,7.0901139044
Al.pz-vbc.UPF,7.46834,26,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.9966549,10,662.2228498458862,-0.0149881374,0.7064093252,1.4194599318,2.1251505907,2.8266487053,3.535534,4.2444195557,4.9459176931,5.6516077481,6.3646582572,7.0860560134
Al.pz-vbc.UPF,7.46834,28,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99670042,14,920.6146159172058,-0.0189773376,0.7005616192,1.4164833291,2.1261172826,2.8294006745,3.535534,4.241668147,4.9449522359,5.6545849544,6.3705057148,7.0900448859
Al.pz-vbc.UPF,7.46834,30,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99665422,10,689.3847303390503,-0.0149084246,0.7064513115,1.419449505,2.1251451442,2.8266436457,3.535534,4.2444235182,4.9459220944,5.6516192824,6.3646159308,7.0859756062
Al.pz-vbc.UPF,7.46834,32,11,20,4,0.02,0.7,-6,16,1,'1 1 0',-45.99664629,10,738.8583130836487,-0.0149510711,0.7064311589,1.4194548097,2.1251413248,2.8266414044,3.535534,4.2444264783,4.9459259061,5.6516132619,6.3646369011,7.0860197983
