pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11
Al.pz-vbc.UPF,7.46834,10,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99975777,13,516.8921387195587,-0.0151300384,0.7048846744,1.4155141906,2.1208909129,2.8308887717,3.535534,4.2401797289,4.950177663,5.6555535001,6.3661813753,7.0861953113
Al.pz-vbc.UPF,7.46834,12,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99954902,10,376.9383194446564,-0.0107160366,0.7087242481,1.4159450797,2.1200259068,2.8312215717,3.535534,4.2398474939,4.9510446477,5.6551232053,6.3623419676,7.0817833234
Al.pz-vbc.UPF,7.46834,14,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99949645,10,401.0260388851166,-0.0102027574,0.7088384964,1.4159043527,2.1200348645,2.8311740179,3.535534,4.2398936232,4.9510334575,5.6551649053,6.3622305437,7.0812708046
Al.pz-vbc.UPF,7.46834,16,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99948811,10,445.9467136859894,-0.0100641437,0.7088724909,1.4158839683,2.1200347122,2.8311609654,3.535534,4.2399063145,4.9510320123,5.655183609,6.3621960916,7.0811323926
Al.pz-vbc.UPF,7.46834,18,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99947743,10,404.87654638290405,-0.0099967457,0.7088873294,1.4158658961,2.1200296136,2.8311539878,3.535534,4.2399137331,4.9510384557,5.6552019275,6.3621793363,7.0810642042
Al.pz-vbc.UPF,7.46834,20,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99946642,9,407.17754554748535,-0.0087345707,0.7097403461,1.4156259475,2.1197080369,2.8311777977,3.535534,4.2398901858,4.9513598775,5.6554417524,6.3613274211,7.0798028571
Al.pz-vbc.UPF,7.46834,22,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99946684,9,395.5041072368622,-0.0087608265,0.7097278971,1.4156263127,2.1197105368,2.8311784014,3.535534,4.239890113,4.9513578311,5.6554412983,6.3613413802,7.0798285199
Al.pz-vbc.UPF,7.46834,24,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99946612,9,420.999187707901,-0.0086927229,0.7097519425,1.4156102473,2.1197002707,2.8311699479,3.535534,4.239898169,4.9513676711,5.6554577246,6.3613154818,7.0797604842
Al.pz-vbc.UPF,7.46834,26,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99948641,10,486.6668643951416,-0.0100111693,0.7088903641,1.4158816292,2.1200331125,2.8311571733,3.535534,4.2399112625,4.9510355969,5.6551860742,6.3621774367,7.0810790526
Al.pz-vbc.UPF,7.46834,28,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99947599,10,456.5943100452423,-0.0100577923,0.7088792323,1.4158941459,2.1200394474,2.8311629287,3.535534,4.2399052816,4.9510292779,5.655173913,6.3621880244,7.0811251928
Al.pz-vbc.UPF,7.46834,30,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.9994687,9,457.51231837272644,-0.0086928635,0.7097125094,1.4156198294,2.1197247869,2.8311563791,3.535534,4.2399110159,4.9513426959,5.6554483122,6.3613541915,7.0797606877
Al.pz-vbc.UPF,7.46834,32,11,20,4,0.02,0.7,-6,14,1,'1 1 0',-45.99947117,10,515.8634121417999,-0.0101553169,0.7088149451,1.415909632,2.1200636518,2.8311616499,3.535534,4.2399063086,4.9510043037,5.6551588227,6.3622517391,7.081224574
