,pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z atom 1,z atom 2,z atom 3,z atom 4,z atom 5
0,Al.pz-vbc.UPF,7.46834,10,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85194407,15,22.725274324417114,-0.0561675375,0.7166842441,1.414214,2.1117414676,2.8845983962
1,Al.pz-vbc.UPF,7.46834,12,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85237832,15,27.09256887435913,-0.0561113556,0.7164015661,1.414214,2.1120254223,2.8845403929
2,Al.pz-vbc.UPF,7.46834,14,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85253986,15,27.986345767974854,-0.055926576,0.7164060912,1.414214,2.1120213977,2.8843548136
3,Al.pz-vbc.UPF,7.46834,16,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85258969,15,30.42378282546997,-0.05593173,0.7164213878,1.414214,2.1120049077,2.884358651
4,Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.8525754,15,36.29074144363403,-0.0559584984,0.7164125751,1.414214,2.112015226,2.8843864672
5,Al.pz-vbc.UPF,7.46834,20,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85260173,15,39.408737897872925,-0.056047024,0.7163470641,1.414214,2.1120773248,2.8844779847
6,Al.pz-vbc.UPF,7.46834,22,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85258442,15,40.37071633338928,-0.0562475118,0.7163232522,1.414214,2.1121048968,2.8846769242
7,Al.pz-vbc.UPF,7.46834,24,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85260958,15,43.24001884460449,-0.0562610873,0.7163113697,1.414214,2.1121179567,2.8846923962
8,Al.pz-vbc.UPF,7.46834,26,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85259612,15,42.80475068092346,-0.056125228,0.71635003,1.414214,2.1120762947,2.8845533258
9,Al.pz-vbc.UPF,7.46834,28,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85260408,15,53.06037735939026,-0.0558496418,0.7164326075,1.414214,2.111988948,2.8842782907
10,Al.pz-vbc.UPF,7.46834,30,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85259391,15,55.66432762145996,-0.0558543952,0.7164138171,1.414214,2.1120156002,2.884285412
11,Al.pz-vbc.UPF,7.46834,32,5,20,4,0.02,0.7,-6,6,1,1 1 0,-20.85259483,15,55.499560594558716,-0.0555134841,0.7165218642,1.414214,2.1119090463,2.883941235
