pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5
Al.pz-vbc.UPF,7.46834,10,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86277914,12,59.44547152519226,-0.0365451457,0.6841401788,1.414214,2.1442902826,2.8649725849
Al.pz-vbc.UPF,7.46834,12,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86318419,13,66.60374069213867,-0.0373840902,0.6823369886,1.414214,2.1460910409,2.865812556
Al.pz-vbc.UPF,7.46834,14,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.8633157,13,70.53875255584717,-0.0380104526,0.6820456355,1.414214,2.1463818278,2.8664395333
Al.pz-vbc.UPF,7.46834,16,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86335942,13,76.8268096446991,-0.0381266704,0.6819161332,1.414214,2.1465116817,2.8665535119
Al.pz-vbc.UPF,7.46834,18,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86336324,13,88.06151103973389,-0.0381916819,0.6817399357,1.414214,2.1466884647,2.8666199788
Al.pz-vbc.UPF,7.46834,20,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86337537,13,92.21916890144348,-0.0381447184,0.6815521337,1.414214,2.1468781733,2.8665757561
Al.pz-vbc.UPF,7.46834,22,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86335836,12,87.5675916671753,-0.0388746393,0.6827332337,1.414214,2.1456935324,2.8673008534
Al.pz-vbc.UPF,7.46834,24,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86336874,13,101.08620619773865,-0.0383411537,0.6819428697,1.414214,2.1464951181,2.8667731791
Al.pz-vbc.UPF,7.46834,26,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86336562,13,100.0539197921753,-0.0384411874,0.6820594971,1.414214,2.1463758474,2.8668497418
Al.pz-vbc.UPF,7.46834,28,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86336489,13,117.11397361755371,-0.0382289611,0.6820984508,1.414214,2.1463298034,2.8666533268
Al.pz-vbc.UPF,7.46834,30,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.8633658,13,123.89444589614868,-0.0383553843,0.6822057402,1.414214,2.146225273,2.8667835241
Al.pz-vbc.UPF,7.46834,32,5,20,4,0.02,0.7,-6,12,1,'1 1 0',-20.86336325,13,120.84740805625916,-0.0383774899,0.6821455693,1.414214,2.1462834851,2.8668094256
