pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7
Al.pz-vbc.UPF,7.46834,10,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24133825,6,103.18798422813416,-0.0052627437,0.709589509,1.4221045763,2.12132,2.8205362073,3.5330518614,4.2479038706
Al.pz-vbc.UPF,7.46834,12,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24157549,6,114.69753694534302,-0.0055030972,0.7095341577,1.4220845018,2.12132,2.8205562129,3.5331080632,4.2481438383
Al.pz-vbc.UPF,7.46834,14,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24164786,6,114.13461017608643,-0.0055993388,0.7095219863,1.4220897716,2.12132,2.8205506853,3.5331189575,4.2482403533
Al.pz-vbc.UPF,7.46834,16,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24167049,6,117.59143543243408,-0.0056527757,0.7095176633,1.4220998692,2.12132,2.8205400532,3.5331230338,4.2482935715
Al.pz-vbc.UPF,7.46834,18,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24168745,6,131.09180092811584,-0.0056593073,0.7095098741,1.4221061415,2.12132,2.8205331389,3.5331320798,4.2482994914
Al.pz-vbc.UPF,7.46834,20,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24167418,6,138.88724303245544,-0.005630549,0.7095088968,1.4220789411,2.12132,2.8205614935,3.5331320137,4.2482700477
Al.pz-vbc.UPF,7.46834,22,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24168447,6,150.03835153579712,-0.0056255744,0.709502366,1.4220703637,2.12132,2.8205699124,3.5331382401,4.2482664738
Al.pz-vbc.UPF,7.46834,24,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24168395,6,156.3938603401184,-0.0056378892,0.7095037798,1.422078119,2.12132,2.8205623878,3.5331387408,4.248278466
Al.pz-vbc.UPF,7.46834,26,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24167505,6,151.0028748512268,-0.0056400665,0.7095071853,1.4220861043,2.12132,2.8205547486,3.5331343609,4.2482807286
Al.pz-vbc.UPF,7.46834,28,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24168482,6,158.37697863578796,-0.0056404753,0.709505261,1.4220900054,2.12132,2.8205505675,3.533135269,4.2482820767
Al.pz-vbc.UPF,7.46834,30,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.2416741,6,164.78583192825317,-0.0056601413,0.709507357,1.4221041049,2.12132,2.8205347423,3.533133969,4.2483024609
Al.pz-vbc.UPF,7.46834,32,7,20,4,0.02,0.7,-6,16,1,'1 1 0',-29.24168218,6,193.80434203147888,-0.0056389712,0.7095075044,1.4220943441,2.12132,2.8205455869,3.5331339498,4.2482795884
