pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z1,z2,z3,z4,z5,z6,z7,z8,z9
Al.pz-vbc.UPF,7.46834,10,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61518,7,137.13597464561462,-0.0092060406,0.707169995,1.4207823753,2.1282217806,2.828427,3.5286317416,4.236069831,4.9496850681,5.6660606184
Al.pz-vbc.UPF,7.46834,12,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61513369,7,151.98159003257751,-0.0086767611,0.7074603902,1.4210103317,2.1283305618,2.828427,3.5285244701,4.2358435651,4.9493944994,5.6655307276
Al.pz-vbc.UPF,7.46834,14,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61510605,7,180.11829042434692,-0.0085430199,0.7074640117,1.4210915219,2.1284144259,2.828427,3.5284410211,4.2357614045,4.9493908483,5.6653977685
Al.pz-vbc.UPF,7.46834,16,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61511229,7,166.2087275981903,-0.0084535059,0.707510545,1.4211129727,2.1284094759,2.828427,3.5284449597,4.235741926,4.9493445962,5.6653076319
Al.pz-vbc.UPF,7.46834,18,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61510493,7,164.36197686195374,-0.0083292723,0.7075532719,1.4210468474,2.1283322168,2.828427,3.5285217228,4.2358073889,4.9493018111,5.6651841403
Al.pz-vbc.UPF,7.46834,20,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61509958,7,181.24718308448792,-0.0083965876,0.7075240727,1.4210869619,2.1283869501,2.828427,3.5284676925,4.2357668294,4.9493299252,5.6652499656
Al.pz-vbc.UPF,7.46834,22,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61510714,7,188.12886357307434,-0.0083975459,0.7075929322,1.4210838418,2.1283495393,2.828427,3.5285039661,4.235770419,4.9492616977,5.6652518592
Al.pz-vbc.UPF,7.46834,24,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61509546,7,201.51705384254456,-0.0083359775,0.7075762021,1.421080245,2.128354625,2.828427,3.5285000967,4.2357743024,4.9492814094,5.665191026
Al.pz-vbc.UPF,7.46834,26,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61510848,7,201.0492968559265,-0.0084213157,0.7075256741,1.4211243742,2.128411291,2.828427,3.5284435045,4.2357311768,4.9493291194,5.6652742572
Al.pz-vbc.UPF,7.46834,28,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61511172,7,216.17490124702454,-0.0084082395,0.7075324223,1.4211042118,2.1283819925,2.828427,3.5284726882,4.2357499458,4.949321329,5.6652605043
Al.pz-vbc.UPF,7.46834,30,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61509776,7,223.25327944755554,-0.0083761852,0.7075578995,1.4211023338,2.1283582202,2.828427,3.5284962428,4.2357530206,4.9492969956,5.6652298311
Al.pz-vbc.UPF,7.46834,32,9,20,4,0.02,0.7,-6,12,1,'1 1 0',-37.61509319,7,210.46796894073486,-0.0084126625,0.7075207789,1.4210952052,2.1283810745,2.828427,3.5284732825,4.2357592475,4.9493324338,5.6652658513
