,pseudo_name,a_0,vacuum_thickness,n_layers,ecutwfc,ecutrho_r,degauss,mixing_beta,conv_thr_o,n_k_points_hor,n_k_points_ver,k_point_shift,total_energy,n_it,sim_time,z atom 1,z atom 2,z atom 3
0,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,2,1,1 1 0,-12.36556536,7,2.057647705078125,-0.2610570332,0.707107,1.6752703628
1,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,2,2,1 1 0,-12.36632024,7,2.8155782222747803,-0.262403116,0.707107,1.6766166166
2,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,2,3,1 1 0,-12.36630279,7,3.538238525390625,-0.2623298139,0.707107,1.6765431529
3,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,3,1,1 1 0,-12.45570358,16,5.126238584518433,-0.3202702015,0.707107,1.7344865196
4,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,3,2,1 1 0,-12.4561796,16,8.233674049377441,-0.3216361364,0.707107,1.7358503008
5,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,3,3,1 1 0,-12.45619565,16,10.575712442398071,-0.3216110527,0.707107,1.7358249463
6,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,4,1,1 1 0,-12.39388622,7,3.7211427688598633,-0.2097904614,0.707107,1.6240049666
7,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,4,2,1 1 0,-12.39415967,7,6.27512526512146,-0.2104795296,0.707107,1.6246935579
8,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,4,3,1 1 0,-12.39415823,7,9.111297130584717,-0.2105151596,0.707107,1.6247292593
9,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,5,1,1 1 0,-12.40589642,8,5.756507635116577,-0.2344646736,0.707107,1.6486776428
10,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,5,2,1 1 0,-12.40626728,8,10.374359607696533,-0.2357960371,0.707107,1.6500089026
11,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,5,3,1 1 0,-12.40626678,8,14.443407535552979,-0.2356663942,0.707107,1.6498792812
12,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,6,1,1 1 0,-12.41745764,7,6.931546688079834,-0.2234417841,0.707107,1.6376553335
13,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,6,2,1 1 0,-12.41774998,7,13.0041344165802,-0.2229650617,0.707107,1.6371786951
14,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,6,3,1 1 0,-12.41774032,7,19.446414470672607,-0.222839211,0.707107,1.6370525868
15,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,7,1,1 1 0,-12.41638483,7,9.405595302581787,-0.2267993706,0.707107,1.6410124618
16,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,7,2,1 1 0,-12.4167153,7,17.034173727035522,-0.2274675631,0.707107,1.6416806209
17,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,7,3,1 1 0,-12.41672105,7,24.320683240890503,-0.2274648664,0.707107,1.6416777292
18,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,8,1,1 1 0,-12.41330722,8,12.357497930526733,-0.2264156382,0.707107,1.6406283305
19,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,8,2,1 1 0,-12.41362279,8,23.13379168510437,-0.2265577706,0.707107,1.6407706095
20,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,8,3,1 1 0,-12.41361648,8,34.592524766922,-0.2264463845,0.707107,1.64065921
21,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,9,1,1 1 0,-12.4171684,7,14.146703243255615,-0.2342918921,0.707107,1.6485061246
22,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,9,2,1 1 0,-12.41750183,7,28.069313526153564,-0.2344139061,0.707107,1.6486278589
23,Al.pz-vbc.UPF,7.46834,14,3,20,4,0.02,0.7,-6,9,3,1 1 0,-12.41750077,7,40.478872776031494,-0.2343480418,0.707107,1.6485618767
